SPCompIndex,SPCompIndexChange,Dividends,Earnings,CPI,LongInterestRate,RealPrice,RealDiv,RealTotalReturnPrice,RealEarnings,RealTRScaledEarnings,CyclicallyAdjPE,CAPETotal,ExcessCAPEYield,MonthlyBondTotalReturn,RealTotalBondReturn
2803.98,0.02,54.94,134.39,254.20,2.57,3361.00,65.85,2053824.65,161.09,98436.33,29.58,32.26,0.03,1.01,49.43
2903.80,0.03,55.32,134.68,255.55,2.53,3462.32,65.96,2119095.58,160.59,98287.37,30.13,32.88,0.03,1.01,49.45
2854.71,-0.02,55.70,134.98,256.09,2.40,3396.55,66.27,2082226.01,160.60,98452.01,29.24,31.93,0.03,1.03,50.01
2890.17,0.01,56.08,135.27,256.14,2.06,3438.06,66.71,2111078.69,160.91,98805.82,29.28,31.99,0.03,1.04,51.63
2996.11,0.04,56.46,134.48,256.57,1.63,3558.14,67.05,2188243.69,159.71,98218.91,29.99,32.77,0.03,1.00,53.66
2897.50,-0.03,56.84,133.69,256.56,1.63,3441.20,67.50,2119785.66,158.78,97806.50,28.71,31.39,0.04,0.99,53.73
2982.16,0.03,57.22,132.90,256.76,1.70,3538.97,67.90,2183498.44,157.71,97307.77,29.23,31.97,0.03,1.00,53.42
2977.68,0.00,57.56,135.09,257.35,1.71,3525.60,68.15,2178752.18,159.95,98844.61,28.84,31.56,0.04,0.99,53.33
3104.90,0.04,57.90,137.28,257.21,1.81,3678.21,68.59,2276592.89,162.63,100657.10,29.84,32.66,0.03,1.00,52.95
3176.75,0.02,58.24,139.47,256.97,1.86,3766.75,69.06,2334954.29,165.37,102512.35,30.33,33.21,0.03,1.01,52.84
3278.20,0.03,58.69,131.76,257.97,1.76,3872.02,69.32,2403792.35,155.62,96612.59,30.99,33.92,0.03,1.03,53.19
3277.31,0.00,59.13,124.04,258.68,1.50,3860.39,69.65,2400176.17,146.11,90844.46,30.73,33.64,0.04,1.06,54.39
2652.39,-0.24,59.58,116.33,258.12,0.87,3131.10,70.33,1950390.03,137.33,85541.18,24.82,27.18,0.05,1.02,57.84
2761.98,0.04,59.61,110.63,256.39,0.66,3282.41,70.85,2048318.87,131.48,82044.73,25.93,28.41,0.05,1.00,59.45
2919.62,0.05,59.65,104.93,256.39,0.67,3469.69,70.88,2168870.64,124.70,77948.50,27.33,29.95,0.05,0.99,59.42
3104.66,0.06,59.68,99.23,257.80,0.73,3669.52,70.54,2297456.89,117.28,73430.45,28.84,31.61,0.04,1.01,58.79
3207.62,0.03,59.40,98.89,259.10,0.62,3772.13,69.86,2365344.93,116.30,72925.38,29.60,32.45,0.05,1.00,59.15
3391.71,0.05,59.13,98.56,259.92,0.65,3976.08,69.31,2496856.54,115.54,72553.92,31.16,34.17,0.04,1.00,58.83
3365.52,-0.01,58.85,98.22,260.28,0.68,3939.88,68.89,2477733.35,114.98,72310.73,30.84,33.82,0.04,0.99,58.61
3418.70,0.02,58.66,96.86,260.39,0.79,4000.49,68.64,2519441.97,113.34,71379.37,31.28,34.31,0.04,0.99,58.00
3548.99,0.04,58.47,95.49,260.23,0.87,4155.49,68.46,2620652.19,111.81,70514.33,32.47,35.61,0.04,1.00,57.63
3695.31,0.04,58.28,94.13,260.47,0.93,4322.74,68.17,2729712.40,110.11,69533.50,33.77,37.03,0.04,0.99,57.29
3793.75,0.03,58.06,105.49,261.58,1.08,4419.09,67.63,2794117.23,122.87,77691.53,34.51,37.84,0.04,0.98,56.29
3883.43,0.02,57.85,116.84,263.01,1.26,4498.93,67.02,2848128.51,135.36,85693.48,35.10,38.48,0.03,0.97,55.10
3910.51,0.01,57.63,128.20,264.88,1.61,4498.43,66.30,2851312.06,147.47,93475.88,35.04,38.40,0.03,1.00,53.01
4141.18,0.06,57.71,138.39,267.05,1.64,4724.95,65.85,2998364.83,157.89,100197.07,36.72,40.22,0.03,1.00,52.51
4167.85,0.01,57.79,148.57,269.20,1.62,4717.56,65.41,2997135.65,168.17,106840.33,36.55,40.01,0.03,1.01,52.26
4238.49,0.02,57.87,158.76,271.70,1.52,4753.36,64.89,3023312.52,178.05,113243.43,36.70,40.15,0.03,1.02,52.32
4363.71,0.03,58.33,164.32,273.00,1.32,4870.36,65.10,3101183.06,183.39,116775.80,37.44,40.94,0.03,1.00,53.10
4454.21,0.02,58.79,169.87,273.57,1.28,4961.11,65.48,3162443.03,189.21,120608.41,37.97,41.49,0.03,0.99,53.25
4445.54,0.00,59.25,175.43,274.31,1.37,4938.05,65.82,3151239.53,194.87,124354.19,37.62,41.07,0.03,0.98,52.72
4460.71,0.00,59.64,182.91,276.59,1.58,4914.07,65.70,3139428.44,201.50,128731.35,37.25,40.64,0.03,1.00,51.34
4667.39,0.04,60.02,190.39,277.95,1.56,5116.61,65.79,3272330.26,208.71,133483.47,38.58,42.05,0.03,1.01,51.25
4674.77,0.00,60.40,197.87,278.80,1.47,5109.01,66.01,3270987.23,216.25,138451.70,38.30,41.72,0.03,0.97,51.58
4573.82,-0.02,60.92,197.88,281.15,1.76,4956.97,66.02,3177164.21,214.46,137458.07,36.94,40.19,0.03,0.99,49.86
4435.98,-0.03,61.45,197.90,283.72,1.93,4764.07,65.99,3057052.09,212.53,136380.31,35.29,38.37,0.03,0.98,48.73
4391.27,-0.01,61.97,197.91,287.50,2.13,4653.91,65.68,2989876.48,209.75,134750.79,34.27,37.24,0.03,0.95,47.30
4391.30,0.00,62.65,196.03,289.11,2.75,4628.11,66.03,2976834.06,206.60,132885.34,33.89,36.80,0.03,0.99,44.60
4040.36,-0.09,63.34,194.14,292.30,2.90,4211.82,66.02,2712612.01,202.38,130343.72,30.67,33.29,0.03,0.98,43.64
3898.95,-0.04,64.02,192.26,296.31,3.14,4009.33,65.83,2585734.06,197.70,127504.50,29.05,31.52,0.03,1.02,42.27
3911.73,0.00,64.45,190.58,296.28,2.90,4022.95,66.29,2598080.39,196.00,126581.05,29.00,31.46,0.03,1.00,43.26
4158.56,0.06,64.89,188.91,296.17,2.90,4278.32,66.75,2766593.29,194.35,125675.12,30.70,33.28,0.03,0.95,43.38
3850.52,-0.08,65.32,187.23,296.81,3.52,3952.90,67.06,2559775.59,192.21,124468.05,28.23,30.60,0.03,0.97,41.15
3726.05,-0.03,65.85,182.40,298.01,3.98,3809.67,67.33,2470655.82,186.50,120947.31,27.08,29.35,0.02,1.01,39.56
3917.49,0.05,66.39,177.58,297.71,3.89,4009.45,67.94,2603891.80,181.75,118032.36,28.38,30.75,0.02,1.03,40.03
3912.38,0.00,66.92,172.75,296.80,3.62,4016.56,68.70,2612223.34,177.35,115341.93,28.32,30.68,0.03,1.01,41.18
3960.66,0.01,67.35,173.56,299.17,3.53,4033.87,68.59,2627197.97,176.76,115124.28,28.33,30.69,0.03,0.98,41.29
4079.68,0.03,67.78,174.36,300.84,3.75,4132.03,68.65,2694855.93,176.60,115176.56,28.92,31.32,0.02,1.01,40.43
3968.56,-0.03,68.21,175.17,301.68,3.66,4008.35,68.89,2617939.81,176.93,115554.41,27.95,30.27,0.03,1.02,40.75
